ano,pais,electricidad,poblacion,cultivos,desempleo,hambre
YR2002,United States,100.0,31.3935499327652,18.8799945862876,5.78,2.5
YR2002,Canada,100.0,3.49782657917661,4.5300978518982,7.66,2.5
YR2002,Chile,97.2666854858398,21.1070807981365,2.21913784477332,10.17,3.2
YR2002,Argentina,96.0960006713867,13.8433757568449,10.180911977608,19.59,3.8
YR2002,Uruguay,97.8016662597656,18.8917895097703,7.89052679693749,16.65,3.5
YR2002,Brazil,96.652996,21.5929243826976,5.57564242762146,10.64,9.3
YR2002,Costa Rica,98.509188,80.7407559733647,3.91696043869957,6.33,5.0
YR2002,Mexico,97.897085,51.9134139252553,11.9262326705934,3.0,3.7
"YR2002,""Venezuela, RB"",99.8,28.7182461311717,2.9454112578652,16.17,15.1"
YR2002,Ecuador,94.2339706420898,52.627673538412,5.47592204863907,4.899,22.7
YR2002,Colombia,94.8810424804688,36.4615141955836,1.99278954484002,15.63,9.1
YR2002,Paraguay,91.666443,13.3060961490058,8.07953687389882,9.39,9.3
YR2002,Peru,74.382688,21.35508046875,3.582109375,4.84,22.9
YR2002,Bolivia,63.996855,8.21617557463307,3.04624757684852,2.49,26.9
YR2003,United States,100.0,31.6645346171981,18.6348822080961,5.99,2.5
YR2003,Canada,100.0,3.52949755676983,4.49295584562756,7.57,2.5
YR2003,Chile,98.782325,21.3294276507265,2.01739804070302,9.77,3.2
YR2003,Argentina,96.2979507446289,13.9870295868367,10.8993711381267,15.36,4.5
YR2003,Uruguay,97.8757781982422,18.9132784824591,7.91338132784825,16.66,3.7
YR2003,Brazil,96.980098,21.8504688842254,5.64467692572749,11.17,7.9
YR2003,Costa Rica,98.695902,82.033098315707,4.11280846063455,6.56,5.2
YR2003,Mexico,97.3593902587891,52.6913454564161,12.1669796033849,3.46,4.3
"YR2003,""Venezuela, RB"",95.7,29.2296683861459,2.94767870302137,16.78,14.6"
YR2003,Ecuador,94.973044,53.5560637783862,5.23031083910453,5.66,22.7
YR2003,Colombia,95.0771865844727,37.0055763857593,2.0405588102749,14.19,9.8
YR2003,Paraguay,92.558399,13.4740850742512,8.25572615152278,6.81,8.8
YR2003,Peru,74.380966,21.58073515625,3.60859375,4.15,23.1
YR2003,Bolivia,72.3,8.36091387427305,3.24379211668051,2.533,27.7
YR2004,United States,100.0,31.9589450682826,18.3930769969613,5.53,2.5
YR2004,Canada,100.0,3.56258260750269,4.45581383935692,7.19,2.5
YR2004,Chile,97.5337295532227,21.5430754829651,2.01739804070302,10.16,3.2
YR2004,Argentina,96.50537109375,14.1297684429,11.6178302986454,13.52,4.0
YR2004,Uruguay,97.9553527832031,18.9338418466461,7.936235858759,12.98,3.8
YR2004,Brazil,96.765107,22.1008553338422,5.71371142383353,10.07,6.8
YR2004,Costa Rica,98.954779,83.2902467685076,4.11280846063455,6.39,5.0
YR2004,Mexico,98.597701,53.471443709972,11.9416651662851,3.94,4.6
"YR2004,""Venezuela, RB"",99.1,29.7340592936908,3.00436483192563,15.07,10.0"
YR2004,Ecuador,94.7642669677734,54.4958648735706,5.14172974714125,5.0,22.7
YR2004,Colombia,95.2788009643555,37.537871113114,2.01712483100496,13.72,10.6
YR2004,Paraguay,93.249876,13.6328316133904,8.48225522275359,6.51,9.1
YR2004,Peru,75.692357,21.79211796875,3.635078125,4.71,21.7
YR2004,Bolivia,75.865852355957,8.50759623373027,3.30379396289117,2.503,27.7
YR2005,United States,100.0,32.2548765979183,18.1480082777409,5.08,2.5
YR2005,Canada,100.0,3.5963894177628,4.41867183308628,6.76,2.5
YR2005,Chile,97.6824645996094,21.7546938127747,1.95015143934626,9.34,3.1
YR2005,Argentina,96.7252655029297,14.2765534276809,12.3476170117916,11.51,3.7
YR2005,Uruguay,98.0474090576172,18.9559193235059,7.95337675694206,12.01,3.9
YR2005,Brazil,97.093513,22.3491511269254,5.78274592193957,10.55,6.5
YR2005,Costa Rica,99.053051,84.5257931844888,4.11280846063455,6.57,4.4
YR2005,Mexico,98.932728,54.2413138197999,11.983847321176,3.56,4.4
"YR2005,""Venezuela, RB"",98.7767562866211,30.2350036845984,3.01003344481605,10.66,8.4"
YR2005,Ecuador,95.83265,55.4437590594299,5.21823159929135,3.78,22.4
YR2005,Colombia,96.8,38.0540243352862,1.82604776926543,11.87,11.2
YR2005,Paraguay,94.686886,13.7852454064938,8.7087842939844,4.82,9.5
YR2005,Peru,77.173645,21.99005234375,3.6615625,4.87,18.8
YR2005,Bolivia,68.288209,8.65631680974799,3.51333887196529,2.543,26.8
YR2006,United States,100.0,32.5673998463204,17.9029395585205,4.62,2.5
YR2006,Canada,100.0,3.63290915600646,4.38152982681564,6.32,2.5
YR2006,Chile,99.368108,21.9688930671444,1.81565823663272,9.02,3.1
YR2006,Argentina,96.9644088745117,14.4250357183313,13.0020206892268,10.08,3.4
YR2006,Uruguay,98.505426,18.9822991658096,7.97623128785282,10.84,3.7
YR2006,Brazil,97.594314,22.591232259809,5.85225899542243,9.69,6.2
YR2006,Costa Rica,99.147523,85.7456325891109,4.11280846063455,5.74,3.9
YR2006,Mexico,99.11416,54.9843308727076,12.0183132282209,3.57,4.1
"YR2006,""Venezuela, RB"",99.3,30.7262411427924,3.01003344481605,8.61,7.0"
YR2006,Ecuador,96.315259,56.406269125463,4.96456756321469,3.55,22.8
YR2006,Colombia,95.7262268066406,38.5515187021181,1.71662911221271,10.963,11.4
YR2006,Paraguay,96.749045,13.9307198590486,8.9353133652152,5.28,9.7
YR2006,Peru,80.157275,22.1727171875,3.688046875,4.17,15.7
YR2006,Bolivia,76.211281,8.80888304255516,3.59226437736546,2.575,24.6
YR2007,United States,100.0,32.8786113609374,17.6578708393001,4.62,2.5
YR2007,Canada,100.0,3.66836147983568,4.33702634182469,6.04,2.5
YR2007,Chile,98.0392684936523,22.1853773610282,1.69730421824481,8.43,3.1
YR2007,Argentina,97.2243957519531,14.5709272880743,13.5144645538954,8.47,3.3
YR2007,Uruguay,98.692636,19.0186892926523,8.43332190606788,9.4,3.1
YR2007,Brazil,98.125382,22.8255871521654,5.92679711036187,9.28,5.6
YR2007,Costa Rica,99.217998,86.9568938503721,3.91696043869957,4.49,3.8
YR2007,Mexico,97.9146041870117,55.7128388075825,12.098562205818,3.63,4.1
"YR2007,""Venezuela, RB"",98.8523712158203,31.2058239328836,3.01456833512839,7.28,4.8"
YR2007,Ecuador,96.812618,57.3837775809309,4.81156385891448,3.14,22.1
YR2007,Colombia,95.9804077148438,39.0325209553853,1.8008111762055,10.25,11.0
YR2007,Paraguay,96.452771,14.0703372766172,9.16184243644601,4.71,9.4
YR2007,Peru,81.988131,22.34405234375,3.71453125,4.08,13.7
YR2007,Bolivia,80.156567,8.9644161358811,3.67118988276562,2.643,23.9
YR2008,United States,100.0,33.2436868537795,17.5377866108695,5.78,2.5
YR2008,Canada,100.0,3.70830229800827,4.29252285683374,6.14,2.5
YR2008,Chile,98.2453155517578,22.4085338626986,1.70267453182916,9.29,3.4
YR2008,Argentina,97.5016021728516,14.7162334791299,13.0216794741092,7.84,3.3
YR2008,Uruguay,98.784355,19.0613986972917,10.4330933607588,8.03,2.5
YR2008,Brazil,98.526625,23.0520566776819,6.00121558145712,8.27,5.1
YR2008,Costa Rica,99.263937,88.169232275754,3.91696043869957,4.78,3.9
YR2008,Mexico,98.914037,56.4235134648525,11.9889914864065,3.87,4.5
"YR2008,""Venezuela, RB"",98.9178161621094,31.6692171645598,3.06105096082988,6.25,2.8"
YR2008,Ecuador,97.206576,58.3700958286359,4.97664680302786,3.92,21.3
YR2008,Colombia,96.806763,39.4910437133844,1.64939161784588,10.52,11.3
YR2008,Paraguay,96.677896,14.208779260005,9.45633022904606,4.42,9.6
YR2008,Peru,84.678343,22.50483203125,3.741015625,4.03,11.6
YR2008,Bolivia,84.674991,9.12082802547771,3.75011538816579,2.6,24.7
YR2009,United States,100.0,33.5363992251367,17.3897120718192,9.25,2.5
YR2009,Canada,100.0,3.75088477166589,4.24801937184279,8.34,2.5
YR2009,Chile,99.593662,22.6398419973855,1.70804484541351,11.31,3.5
YR2009,Argentina,97.7922058105469,14.8662574131524,12.6030715937867,8.65,3.2
YR2009,Uruguay,99.1,19.1072791680951,12.5414238372757,7.74,2.5
YR2009,Brazil,98.856938,23.2728273276112,6.07575369639657,9.42,4.3
YR2009,Costa Rica,99.409804,89.3679396788093,4.30865648256953,7.71,4.3
YR2009,Mexico,98.2967987060547,57.1256606394197,11.905656009671,5.36,4.7
"YR2009,""Venezuela, RB"",98.9966583251953,32.1159707499575,2.94767870302137,6.1,2.5"
YR2009,Ecuador,96.470862,59.3604686745048,4.82928007730713,4.61,16.0
YR2009,Colombia,96.057229,39.9404389364579,1.599819738621,11.32,12.1
YR2009,Paraguay,96.891335,14.3533199093884,9.71054618676063,5.46,8.8
YR2009,Peru,86.42432,22.6635359375,3.7675,3.96,9.7
YR2009,Bolivia,86.765597,9.27842425920798,3.82904089356596,2.97,22.9
YR2010,United States,100.0,33.8157800778799,17.2416375327688,9.63,2.5
YR2010,Canada,100.0,3.79282222363503,4.20351588685184,8.06,2.5
YR2010,Chile,99.5258941650391,22.8694420683979,1.71207022697073,8.41,3.4
YR2010,Argentina,98.82,14.904301546759,13.8865198469684,7.71,3.1
YR2010,Uruguay,99.3,19.1558164781168,11.6158153353902,7.16,2.5
